Make,Model,Year of manufacture,Body,Doors,Seats,Colour,Engine size,Price,Mileage,Fuel type,Fuel economy,Transmission,Horse power,Owners,Extraction time
Nissan,Micra 1.0 IG-T 100 N-Tec 5dr CVT,2020,Hatchback,5,5,Black,1.0,"£15,999","1,614 ",Petrol, 44.1 ,Automatic,99 ,n/a,16-11-2021
Nissan,Qashqai 1.5 dCi 115 N-Connecta 5dr [Glass Roof Pack],2018,Hatchback,5,5,Blue,1.5,"£17,999","27,452 ",n/a, 52.3 ,Manual,114 ,2,16-11-2021
MINI,Mini Countryman 2.0 Cooper D Exclusive 5dr Auto,2019,Hatchback,5,5,White,2.0,"£23,999","12,079 ",n/a, 51.4 ,Automatic,148 ,2,16-11-2021
BMW,4 Series 430i M Sport 2dr Auto [Professional Media],2020,Coupe,2,4,Black,2.0,"£27,999","9,076 ",Petrol, 48.7 ,Automatic,248 ,1,16-11-2021
Mazda,MX-5 1.5 [132] Sport 2dr,2020,Convertible,2,2,Blue,1.5,"£23,999","3,751 ",Petrol, 44.8 ,Manual,130 ,1,16-11-2021
Ford,Kuga 1.5 EcoBoost ST-Line Edition 5dr Auto 2WD,2019,Hatchback,5,5,White,1.5,"£24,999","14,928 ",Petrol, 29.4 ,Automatic,148 ,2,16-11-2021
Fiat,500L 1.4 Pop 5dr,2021,n/a,n/a,n/a,n/a,n/a,"£17,999",146 ,Petrol,n/a,Manual,94 ,n/a,16-11-2021
Ford,Transit Courier 1.0 EcoBoost Limited Van [6 Speed],2021,n/a,n/a,2,Grey,1.0,"£16,999 ","2,746 ",Petrol, 35.8 ,Manual,99 ,1,16-11-2021
Ford,Transit Courier 1.0 EcoBoost Limited Van [6 Speed],2021,n/a,n/a,2,Grey,1.0,"£16,999 ","6,392 ",Petrol, 35.8 ,Manual,99 ,1,16-11-2021
Ford,Transit Courier 1.0 EcoBoost Limited Van [6 Speed],2021,n/a,n/a,2,Grey,1.0,"£16,999 ","1,446 ",Petrol, 35.8 ,Manual,99 ,n/a,16-11-2021
Citroen,Berlingo 1.5 BlueHDi 1000Kg Enterprise 100ps,2021,n/a,n/a,5,Black,1.5,"£16,999 ","3,563 ",n/a, 52.3 ,Manual,101 ,1,16-11-2021
Vauxhall,Grandland X 1.2 Turbo Elite Nav Premium 5dr Auto [8 Speed],2020,Hatchback,5,5,White,1.2,"£25,999","7,130 ",Petrol, 42.8 ,Automatic,128 ,1,16-11-2021
Kia,Rio 1.25 Pulse 5dr,2017,Hatchback,5,5,White,1.2,"£11,999","11,835 ",Petrol, 58.9 ,Manual,82 ,2,16-11-2021
Nissan,Qashqai 1.5 dCi 115 Acenta Premium 5dr,2018,Hatchback,5,5,Blue,1.5,"£16,599","18,632 ",n/a, 53.3 ,Manual,114 ,1,16-11-2021
BMW,3 Series 320i M Sport 4dr,2018,Saloon,4,5,Black,2.0,"£18,999","27,912 ",Petrol, 47.9 ,Manual,181 ,1,16-11-2021
Skoda,Octavia 1.0 TSI SE Technology 5dr DSG,2018,Estate,5,5,Blue,1.0,"£18,999","6,471 ",Petrol, 44.8 ,Automatic,114 ,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 D180 R-Dynamic S 5dr Auto,2019,Hatchback,5,5,Grey,2.0,"£39,599","13,038 ",n/a, 41.5 ,Automatic,178 ,2,16-11-2021
Ford,Fiesta 1.0 EcoBoost 95 Active X Edition 5dr,2020,Hatchback,5,5,Black,1.0,"£17,999","14,917 ",Petrol, 51.4 ,Manual,94 ,1,16-11-2021
Jeep,Renegade 1.6 Multijet Longitude 5dr,2017,Estate,5,5,Red,1.6,"£13,999","25,350 ",n/a, 64.2 ,Manual,118 ,3,16-11-2021
Citroen,Berlingo 1.5 BlueHDi 1000Kg Driver 100ps,2021,n/a,n/a,5,Black,1.5,"£17,999 ","3,677 ",n/a, 52.3 ,Manual,101 ,1,16-11-2021
Citroen,C3 Aircross 1.2 PureTech 130 Shine Plus 5dr EAT6,2021,Hatchback,5,5,Grey,1.2,"£19,999","1,624 ",Petrol, 47.1 ,Automatic,129 ,n/a,16-11-2021
Ford,Fiesta 1.0 EcoBoost 95 ST-Line Edition 5dr,2020,Hatchback,5,5,White,1.0,"£16,599","9,215 ",Petrol, 54.3 ,Manual,94 ,1,16-11-2021
Mercedes-Benz,GLC-Class GLC 250 4Matic AMG Line Premium 5dr 9G-Tronic,2018,Estate,5,5,Black,2.0,"£34,999","28,165 ",Petrol, 43.5 ,Automatic,208 ,1,16-11-2021
Volvo,V40 T3 [152] R DESIGN Edition 5dr,2019,Hatchback,5,5,Black,2.0,"£19,999","12,950 ",Petrol, 39.8 ,Manual,150 ,1,16-11-2021
Suzuki,Jimny 1.3 VVT SZ4 3dr,2018,Estate,3,4,White,1.3,"£18,599","11,411 ",Petrol, 39.8 ,Manual,85 ,2,16-11-2021
Peugeot,2008 SUV 1.2 PureTech Allure Premium 5dr,2021,Hatchback,5,5,Red,1.2,"£22,999",473 ,Petrol, 52.3 ,Manual,99 ,n/a,16-11-2021
Skoda,Kodiaq 2.0 TDI SE 5dr DSG [7 Seat],2020,Estate,5,7,White,2.0,"£28,999","13,560 ",n/a, 45.6 ,Automatic,148 ,1,16-11-2021
Suzuki,Ignis 1.2 Dualjet SZ3 5dr,2018,Hatchback,5,5,Black,1.2,"£9,599","5,797 ",Petrol, 53.3 ,Manual,88 ,4,16-11-2021
Ford,EcoSport 1.0 EcoBoost 125 ST-Line 5dr,2018,Hatchback,5,5,Silver,1.0,"£16,999","8,501 ",Petrol, 43.5 ,Manual,123 ,2,16-11-2021
BMW,4 Series 420d [190] M Sport 5dr Auto [Professional Media],2017,Coupe,4,5,Black,2.0,"£22,999","22,307 ",n/a, 65.7 ,Automatic,188 ,2,16-11-2021
Ford,Fiesta 1.5 EcoBoost ST-2 [Performance Pk] Navigation 3dr,2019,Hatchback,3,5,Grey,1.5,"£19,999","12,425 ",Petrol, 40.4 ,Manual,197 ,1,16-11-2021
Ford,Kuga 2.0 TDCi 180 5dr Auto,2019,Hatchback,5,5,Black,2.0,"£29,599","8,124 ",n/a, 36.7 ,Automatic,177 ,2,16-11-2021
Nissan,Qashqai 1.3 DiG-T N-Connecta 5dr [Glass Roof Pack],2020,Hatchback,5,5,White,1.3,"£20,999","16,700 ",Petrol, 40.4 ,Manual,140 ,2,16-11-2021
BMW,2 Series M240i 2dr [Nav] Step Auto,2018,Coupe,2,4,Black,3.0,"£26,999","26,518 ",Petrol, 39.8 ,Automatic,335 ,1,16-11-2021
Kia,Sportage 1.6 GDi ISG 2 5dr,2018,Estate,n/a,n/a,Red,1.6,"£18,999","16,897 ",Petrol,n/a,Manual,n/a,1,16-11-2021
Ford,Transit Courier 1.0 EcoBoost Limited Van [6 Speed],2021,n/a,n/a,2,Black,1.0,"£16,599 ","4,637 ",Petrol, 35.8 ,Manual,99 ,1,16-11-2021
Ford,Transit Custom 2.0 EcoBlue 170ps Low Roof Limited Van,2020,n/a,n/a,5,Grey,2.0,"£24,999 ","30,828 ",n/a, 47.1 ,Manual,168 ,1,16-11-2021
Kia,Sportage 1.6 GDi ISG Edition 25 5dr,2018,Estate,5,5,Red,1.6,"£21,599","15,491 ",Petrol, 34.9 ,Manual,130 ,1,16-11-2021
Dacia,Sandero 1.0 SCe Essential 5dr,2019,Hatchback,5,5,White,1.0,"£7,999","12,691 ",Petrol, 55.4 ,Manual,72 ,1,16-11-2021
Volkswagen,Golf 2.0 TDI 184 GTD 5dr DSG,2018,Hatchback,5,5,Blue,2.0,"£23,999","24,231 ",n/a, 57.7 ,Automatic,182 ,1,16-11-2021
Skoda,Karoq 2.0 TDI SE Technology 5dr,2019,Hatchback,5,5,Blue,2.0,"£21,999","17,160 ",n/a, 50.4 ,Manual,148 ,1,16-11-2021
Jaguar,XE 2.0d [180] R-Sport 4dr Auto,2018,Saloon,4,5,Red,2.0,"£23,999","21,297 ",n/a, 67.3 ,Automatic,177 ,3,16-11-2021
Nissan,Qashqai 1.5 dCi N-Connecta [Glass Roof Pack] 5dr,2018,Hatchback,5,5,Red,1.5,"£17,999","28,853 ",n/a, 74.3 ,Manual,108 ,2,16-11-2021
BMW,3 Series 320i xDrive M Sport 4dr Step Auto,2020,Saloon,4,5,Blue,2.0,"£32,999","5,206 ",Petrol, 39.2 ,Automatic,181 ,1,16-11-2021
Skoda,Kodiaq 2.0 TDI SE Technology 5dr DSG,2019,Estate,5,5,Blue,2.0,"£25,999","25,020 ",n/a, 45.6 ,Automatic,148 ,1,16-11-2021
Skoda,Kamiq 1.5 TSI SE L 5dr DSG,2020,Estate,5,5,White,1.5,"£23,599","13,032 ",Petrol, 43.5 ,Automatic,148 ,1,16-11-2021
Ford,C-MAX 1.0 EcoBoost Zetec Navigation 5dr,2018,MPV,5,5,White,1.0,"£11,999","34,911 ",Petrol, 42.2 ,Manual,99 ,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 D180 R-Dynamic S 5dr Auto,2020,Hatchback,5,5,Black,2.0,"£39,999","19,200 ",n/a, 41.5 ,Automatic,178 ,1,16-11-2021
Ford,Puma SUV 1.0 EcoBoost Titanium 5dr,2020,Hatchback,5,5,Red,1.0,"£21,599","11,546 ",Petrol, 48.7 ,Manual,123 ,1,16-11-2021
MINI,Mini 2.0 John Cooper Works II 3dr [Chili Pack],2018,Hatchback,3,4,Red,2.0,"£20,999","21,789 ",Petrol, 42.8 ,Manual,228 ,1,16-11-2021
Hyundai,Kona 1.0T GDi Blue Drive Premium SE 5dr,2019,Hatchback,5,5,Orange,1.0,"£17,599","25,150 ",Petrol, 44.1 ,Manual,118 ,2,16-11-2021
Volkswagen,Polo 1.0 75 SE 5dr,2018,Hatchback,5,5,Blue,1.0,"£12,799","17,756 ",Petrol, 60.1 ,Manual,74 ,1,16-11-2021
Peugeot,3008 SUV 1.5 BlueHDi GT Line Premium 5dr,2019,Hatchback,5,5,Bronze,1.5,"£24,999","10,975 ",n/a, 67.3 ,Manual,129 ,2,16-11-2021
Ford,Focus 2.0 EcoBlue ST-Line X 5dr,2019,Hatchback,5,5,Silver,2.0,"£21,999","23,657 ",n/a, 55.4 ,Manual,148 ,2,16-11-2021
MINI,Mini Countryman 2.0 Cooper D 5dr,2018,Hatchback,5,5,Black,2.0,"£19,599","14,009 ",n/a, 65.7 ,Manual,148 ,1,16-11-2021
Ford,Fiesta 1.0 EcoBoost Hybrid mHEV 125 Titanium X 5dr,2020,Hatchback,5,5,Blue,1.0,"£17,999","11,107 ",Petrol, 56.5 ,Manual,123 ,1,16-11-2021
Kia,Sportage 1.7 CRDi ISG 2 5dr,2018,Estate,5,5,Black,1.7,"£18,999","12,916 ",n/a, 61.4 ,Manual,114 ,1,16-11-2021
Renault,Kadjar 1.3 TCE Dynamique S Nav 5dr,2018,Hatchback,5,5,Silver,1.3,"£15,999","14,407 ",Petrol, 47.1 ,Manual,138 ,1,16-11-2021
Ford,Kuga 2.5 PHEV ST-Line First Edition 5dr CVT,2020,Hatchback,5,5,White,2.5,"£33,999","5,314 ",Hybrid, 46.3 ,Automatic,187 ,1,16-11-2021
Audi,Q5 2.0T FSI Quattro S Line 5dr S Tronic,2018,Estate,5,5,Grey,2.0,"£32,999","27,127 ",Petrol, 40.4 ,Automatic,248 ,1,16-11-2021
Mercedes-Benz,A-Class A220d AMG Line 4dr Auto,2021,Saloon,4,5,Red,1.9,"£31,999","2,174 ",n/a, 56.5 ,Automatic,188 ,2,16-11-2021
Nissan,Juke 1.6 Bose Personal Edition 5dr CVT,2018,Hatchback,5,5,Blue,1.6,"£15,499","26,392 ",Petrol, 35.3 ,Automatic,111 ,1,16-11-2021
Honda,Jazz 1.3 i-VTEC EX 5dr,2018,Hatchback,5,5,Grey,1.3,"£13,599","10,214 ",Petrol, 47.9 ,Manual,101 ,2,16-11-2021
Volkswagen,T-Roc 1.5 TSI EVO SEL 5dr DSG,2019,Hatchback,5,5,White,1.5,"£26,999","10,716 ",Petrol, 39.8 ,Automatic,148 ,2,16-11-2021
BMW,4 Series 435d xDrive M Sport 2dr Auto [Professional Media],2018,Coupe,2,4,Black,3.0,"£27,999","31,628 ",n/a, 50.4 ,Automatic,308 ,1,16-11-2021
Mazda,CX-3 2.0 Sport Nav -Plus 5dr Auto,2019,Hatchback,5,5,White,2.0,"£19,999","7,256 ",Petrol, 42.8 ,Automatic,121 ,2,16-11-2021
Ford,Kuga 1.5 EcoBoost Zetec [Nav] 5dr 2WD,2018,Hatchback,5,5,White,1.5,"£17,999","12,089 ",Petrol, 37.2 ,Manual,148 ,1,16-11-2021
Kia,Sportage 1.6 GDi ISG 1 5dr,2018,Estate,5,5,Silver,1.6,"£16,599","17,935 ",Petrol, 35.3 ,Manual,130 ,1,16-11-2021
Nissan,Qashqai 1.3 DiG-T 160 N-Tec 5dr DCT,2020,Hatchback,5,5,Black,1.3,"£24,999","17,380 ",Petrol, 39.8 ,Automatic,158 ,1,16-11-2021
Ford,Kuga 2.5 PHEV ST-Line X First Ed 5dr CVT,2020,Hatchback,5,5,Red,2.5,"£34,999","7,991 ",Hybrid,n/a,Automatic,222 ,1,16-11-2021
Mercedes-Benz,CLA CLA 180 AMG Line 4dr Tip Auto,2018,Coupe,4,5,Red,1.6,"£23,999","13,937 ",Petrol, 52.3 ,Automatic,121 ,3,16-11-2021
Audi,A3 Cabriolet 1.5 TFSI S Line 2dr S Tronic,2018,Convertible,2,4,Grey,1.5,"£26,999","18,732 ",Petrol, 54.3 ,Automatic,148 ,1,16-11-2021
Ford,Kuga 2.0 TDCi 180 Titanium X 5dr Auto,2018,Hatchback,5,5,Grey,2.0,"£24,999","13,987 ",n/a, 36.7 ,Automatic,177 ,2,16-11-2021
Peugeot,2008 SUV 1.2 PureTech 130 GT Premium 5dr EAT8,2021,Hatchback,5,5,Grey,1.2,"£27,999","7,191 ",Petrol, 48.7 ,Automatic,129 ,1,16-11-2021
Volkswagen,Arteon 2.0 TDI SCR 190 R-Line 5dr 4MOTION DSG,2020,Saloon,5,5,Grey,2.0,"£30,999","6,361 ",n/a, 44.1 ,Automatic,187 ,1,16-11-2021
Fiat,500 1.2 Lounge 3dr,2018,Hatchback,3,4,White,1.2,"£7,999","24,753 ",Petrol, 60.1 ,Manual,69 ,3,16-11-2021
Vauxhall,Vivaro 2900 1.5d 100PS Sportive H1 Van,2019,n/a,n/a,n/a,White,1.5,"£17,799 ","28,874 ",n/a, 38.2 ,Manual,101 ,1,16-11-2021
Citroen,C4 100kW Shine 50kWh 5dr Auto,2021,Hatchback,5,5,Blue,n/a,"£27,999","1,879 ",n/a, 1 ,Automatic,134 ,n/a,16-11-2021
Peugeot,5008 SUV 1.2 PureTech GT 5dr,2021,Hatchback,5,7,Blue,1.2,"£34,999","4,692 ",Petrol, 47.9 ,Manual,130 ,1,16-11-2021
MINI,Mini 2.0 Cooper S II 5dr,2018,Hatchback,5,5,Blue,2.0,"£15,999","24,934 ",Petrol, 45.6 ,Manual,189 ,2,16-11-2021
Citroen,Berlingo 1.5 BlueHDi 1000Kg Driver 100ps,2021,n/a,n/a,5,Black,1.5,"£17,999 ","1,352 ",n/a, 52.3 ,Manual,101 ,n/a,16-11-2021
Ford,Mustang 5.0 V8 Bullitt 2dr,2020,Coupe,2,4,Green,5.0,"£52,999","4,966 ",Petrol, 23.9 ,Manual,453 ,1,16-11-2021
Ford,Puma SUV 1.0 EcoBoost Hybrid mHEV ST-Line X 5dr,2020,Hatchback,5,5,White,1.0,"£24,599","2,874 ",Petrol, 50.4 ,Manual,123 ,1,16-11-2021
Nissan,Juke 1.6 [112] Tekna 5dr CVT [Bose],2019,Hatchback,5,5,White,1.6,"£15,999","26,035 ",Petrol, 34.5 ,Automatic,111 ,2,16-11-2021
BMW,1 Series M140i Shadow Edition 5dr Step Auto,2018,Hatchback,5,5,Grey,3.0,"£26,999","23,178 ",Petrol, 39.8 ,Automatic,335 ,2,16-11-2021
Audi,A3 30 TFSI 116 Black Edition 5dr,2018,Hatchback,5,5,Black,1.0,"£20,599","26,204 ",Petrol, 46.3 ,Manual,114 ,3,16-11-2021
Mercedes-Benz,C-Class C200 AMG Line 4dr 9G-Tronic,2021,Saloon,4,5,Blue,1.5,"£33,999","3,725 ",Hybrid, 47.1 ,Automatic,181 ,1,16-11-2021
Ford,Kuga 1.5 EcoBoost 120 Zetec [Nav] 5dr 2WD,2018,Hatchback,5,5,Blue,1.5,"£16,799","20,274 ",Petrol, 37.2 ,Manual,118 ,1,16-11-2021
Seat,Ateca 1.5 TSI EVO SE Technology [EZ] 5dr DSG,2020,Hatchback,5,5,Blue,1.5,"£23,999","11,698 ",Petrol, 40.9 ,Automatic,148 ,1,16-11-2021
Dacia,Duster 1.3 TCe 130 Techroad 5dr,2019,Hatchback,5,5,Red,1.3,"£15,999","25,216 ",Petrol, 47 ,Manual,130 ,1,16-11-2021
Ford,Kuga 2.0 TDCi Titanium Edition 5dr 2WD,2019,Hatchback,5,5,Red,2.0,"£21,999","11,499 ",n/a, 38.2 ,Manual,148 ,2,16-11-2021
MINI,Mini 1.5 Cooper II 5dr Auto,2018,Hatchback,5,5,White,1.5,"£16,999","26,937 ",Petrol, 46.3 ,Automatic,134 ,2,16-11-2021
Vauxhall,Astra 1.6T 16V 200 Elite Nav 5dr,2019,Hatchback,5,5,Black,1.6,"£15,999","5,225 ",Petrol, 41.5 ,Manual,197 ,2,16-11-2021
Toyota,AYGO 1.0 VVT-i X-Plore 5dr,2018,Hatchback,5,4,White,1.0,"£10,599","3,276 ",Petrol, 68.9 ,Manual,69 ,1,16-11-2021
Audi,A4 Avant 35 TDI Black Edition 5dr S Tronic,2020,Estate,5,5,White,2.0,"£30,999","19,234 ",n/a, 49.6 ,Automatic,161 ,1,16-11-2021
Mercedes-Benz,A-Class A200 AMG Line 5dr,2019,Hatchback,5,5,Grey,1.3,"£23,999","13,815 ",Petrol, 44.1 ,Manual,161 ,1,16-11-2021
Seat,Tarraco 2.0 TDI Xcellence 5dr,2020,Hatchback,5,7,Grey,2.0,"£28,999","6,245 ",n/a, 47.1 ,Manual,148 ,1,16-11-2021
Honda,Civic 1.5 VTEC Turbo Sport Plus 5dr,2018,Hatchback,5,5,Blue,1.5,"£20,599","19,590 ",Petrol, 50.4 ,Manual,180 ,2,16-11-2021
Mazda,MX-5 2.0 Launch Edition 2dr,2017,Convertible,2,2,Red,2.0,"£21,999","11,728 ",Petrol, 40.9 ,Manual,181 ,2,16-11-2021
Toyota,AYGO 1.0 VVT-i X-Play 5dr x-shift,2019,Hatchback,5,4,Red,1.0,"£11,599","9,488 ",Petrol, 67.3 ,Automatic,69 ,1,16-11-2021
Citroen,Berlingo 1.5 BlueHDi 1000Kg Enterprise 100ps,2021,n/a,n/a,5,White,1.5,"£16,999 ","2,230 ",n/a, 52.3 ,Manual,101 ,n/a,16-11-2021
Citroen,C3 1.2 PureTech 83 Origins 5dr,2019,Hatchback,5,5,Grey,1.2,"£12,599","9,119 ",Petrol, 51.4 ,Manual,82 ,1,16-11-2021
Volkswagen,Golf 1.5 TSI 150 Style 5dr,2020,Hatchback,5,5,Yellow,1.5,"£21,999","10,400 ",Petrol, 47.1 ,Manual,148 ,2,16-11-2021
BMW,2 Series 218i SE 5dr,2018,Estate,5,7,White,1.5,"£18,599","23,170 ",Petrol, 40.9 ,Manual,138 ,1,16-11-2021
Citroen,C3 Aircross 1.2 PureTech Flair 5dr,2019,Hatchback,5,5,Grey,1.2,"£13,999","19,052 ",Petrol, 44.8 ,Manual,82 ,2,16-11-2021
MINI,Mini Countryman 2.0 [306] John Cooper Works ALL4 5dr Auto [Nav-Plus],2019,Hatchback,5,5,Black,2.0,"£35,999","10,518 ",Petrol, 34.5 ,Automatic,302 ,3,16-11-2021
Nissan,Juke 1.6 [112] Tekna 5dr CVT [Bose],2018,Hatchback,5,5,Bronze,1.6,"£15,999","18,376 ",Petrol, 34.5 ,Automatic,111 ,1,16-11-2021
Audi,A3 1.5 TFSI S Line 5dr S Tronic,2018,Hatchback,5,5,Grey,1.5,"£23,999","17,566 ",Petrol, 56.5 ,Automatic,148 ,1,16-11-2021
Seat,Leon 1.5 TSI EVO SE Dynamic [EZ] 5dr,2019,Hatchback,5,5,Black,1.5,"£14,799","13,558 ",Petrol, 49.6 ,Manual,129 ,1,16-11-2021
Mercedes-Benz,C-Class C300 AMG Line Premium Plus 2dr 9G-Tronic,2019,Coupe,2,4,Red,2.0,"£33,999","9,990 ",Petrol, 44.1 ,Automatic,255 ,2,16-11-2021
Citroen,Berlingo 1.5 BlueHDi 1000Kg Enterprise 100ps,2021,n/a,n/a,5,Grey,1.5,"£16,999 ","5,990 ",n/a, 52.3 ,Manual,101 ,1,16-11-2021
BMW,4 Series 420i M Sport 2dr Auto [Professional Media],2018,Coupe,2,4,Black,2.0,"£22,599","27,411 ",Petrol, 48.7 ,Automatic,181 ,1,16-11-2021
Mercedes-Benz,GLA-Class GLA 200 Sport Executive 5dr,2018,Estate,5,5,Silver,1.6,"£24,999","18,761 ",Petrol, 48.7 ,Manual,154 ,2,16-11-2021
Mercedes-Benz,CLA CLA 220d AMG Line Night Edition 4dr Tip Auto,2018,Coupe,4,5,Silver,2.1,"£26,999","28,392 ",n/a, 52.3 ,Automatic,168 ,1,16-11-2021
Mazda,CX-5 2.2d Sport Nav-Plus 5dr,2018,Estate,5,5,Red,2.2,"£22,999","21,937 ",n/a, 49.6 ,Manual,148 ,1,16-11-2021
Mercedes-Benz,A-Class A180 AMG Line Executive 5dr,2020,Hatchback,5,5,Silver,1.3,"£26,999","8,190 ",Petrol, 45.6 ,Manual,134 ,2,16-11-2021
Seat,Leon 2.0 TSI 290 Cupra [EZ] 5dr DSG,2019,Hatchback,5,5,White,2.0,"£26,999","9,964 ",Petrol, 38.7 ,Automatic,286 ,1,16-11-2021
Vauxhall,Astra 1.4T 16V 150 SRi Vx-line Nav 5dr,2019,Hatchback,5,5,Silver,1.4,"£14,999","11,397 ",Petrol, 47.9 ,Manual,148 ,2,16-11-2021
BMW,2 Series 220d xDrive Luxury 5dr Step Auto,2018,Hatchback,5,5,Blue,2.0,"£20,599","23,719 ",n/a, 49.6 ,Automatic,187 ,2,16-11-2021
Volvo,V40 T2 [122] R DESIGN Edition 5dr,2019,Hatchback,5,5,Black,2.0,"£16,999","24,595 ",Petrol, 39.8 ,Manual,121 ,1,16-11-2021
Mercedes-Benz,GLA-Class GLA 200d SE Executive 5dr Auto,2018,Estate,5,5,Beige,2.1,"£22,999","11,530 ",n/a, 67.3 ,Automatic,134 ,3,16-11-2021
BMW,X1 xDrive 20d Sport 5dr Step Auto,2018,Estate,5,5,Orange,2.0,"£24,999","18,930 ",n/a, 60.1 ,Automatic,187 ,1,16-11-2021
Vauxhall,Vivaro 2900 1.5d 100PS Dynamic H1 Van,2019,n/a,n/a,5,Grey,1.5,"£16,999 ","28,428 ",n/a, 44.8 ,Manual,101 ,1,16-11-2021
Citroen,Berlingo 1.5 BlueHDi 1000Kg Enterprise 100ps,2021,n/a,n/a,5,Grey,1.5,"£16,999 ","2,891 ",n/a, 52.3 ,Manual,101 ,1,16-11-2021
Ford,Kuga 1.5 EcoBoost ST-Line Edition 5dr 2WD,2019,Hatchback,5,5,Black,1.5,"£23,999","14,367 ",Petrol, 36.2 ,Manual,148 ,2,16-11-2021
BMW,5 Series 520d xDrive SE 5dr Auto,2018,Estate,5,5,White,2.0,"£28,999","20,593 ",n/a, 55.4 ,Automatic,188 ,2,16-11-2021
Toyota,C-HR 1.2T Icon 5dr,2018,Coupe,5,5,Silver,1.2,"£16,599","24,802 ",Petrol, 41.5 ,Manual,114 ,1,16-11-2021
Kia,Picanto 1.25 3 5dr,2018,Hatchback,5,5,Silver,1.2,"£10,599","12,063 ",Petrol, 49.6 ,Manual,83 ,1,16-11-2021
Peugeot,208 1.2 PureTech 82 Signature 5dr [Start Stop],2019,Hatchback,n/a,n/a,Black,1.2,"£10,999","5,209 ",Petrol,n/a,Manual,n/a,1,16-11-2021
Fiat,500 1.2 Lounge 3dr,2019,Hatchback,3,4,White,1.2,"£9,999","9,013 ",Petrol, 49.6 ,Manual,68 ,2,16-11-2021
Land Rover,Discovery Sport 2.0 TD4 180 HSE Black 5dr Auto,2018,Estate,5,7,White,2.0,"£32,999","28,313 ",n/a, 53.3 ,Automatic,178 ,1,16-11-2021
MINI,Mini Clubman 1.5 Cooper Exclusive 6dr Auto,2019,Estate,5,5,Silver,1.5,"£21,999","26,279 ",Petrol, 41.5 ,Automatic,134 ,1,16-11-2021
Volkswagen,Golf 1.0 TSI 110 SE 5dr,2018,Hatchback,5,5,Grey,1.0,"£15,999","22,054 ",Petrol, 49.6 ,Manual,113 ,2,16-11-2021
Kia,Sportage 1.6 GDi ISG 2 5dr,2018,Estate,5,5,Red,1.6,"£18,599","26,257 ",Petrol, 34.9 ,Manual,130 ,1,16-11-2021
Ford,Fiesta 1.0 EcoBoost Zetec 5dr,2019,Hatchback,5,5,White,1.0,"£12,599","14,790 ",Petrol, 49.6 ,Manual,99 ,3,16-11-2021
Land Rover,Range Rover Velar 2.0 D180 R-Dynamic S 5dr Auto,2019,Estate,5,5,White,2.0,"£45,999","22,003 ",n/a, 42.2 ,Automatic,178 ,1,16-11-2021
Jaguar,F-PACE 2.0d R-Sport 5dr Auto AWD,2019,Estate,5,5,White,2.0,"£37,999","7,976 ",n/a, 42.2 ,Automatic,178 ,1,16-11-2021
Mercedes-Benz,C-Class C300d AMG Line Premium 2dr 9G-Tronic,2019,Coupe,2,4,Blue,1.9,"£32,599","11,715 ",n/a, 48.7 ,Automatic,241 ,3,16-11-2021
Volvo,V40 T3 [152] Inscription 5dr Geartronic,2018,Hatchback,5,5,White,1.5,"£19,599","22,464 ",Petrol, 37.2 ,Automatic,150 ,3,16-11-2021
Mazda,MX-5 2.0 [184] GT Sport Nav-Plus 2dr,2018,Convertible,2,2,Grey,2.0,"£21,999","16,800 ",Petrol, 40.9 ,Manual,181 ,2,16-11-2021
Vauxhall,Combo 2300 1.5 Turbo D 100ps H1 Sportive Van,2020,n/a,n/a,n/a,White,1.5,"£13,999 ","15,744 ",n/a, 43.5 ,Manual,101 ,1,16-11-2021
Volkswagen,T-Roc 1.5 TSI R-Line 2dr,2020,Convertible,2,4,White,1.5,"£28,999","8,704 ",Petrol, 40.9 ,Manual,148 ,1,16-11-2021
MINI,Mini Countryman 1.5 Cooper Classic 5dr Auto,2020,Hatchback,5,5,White,1.5,"£25,599","13,005 ",Petrol, 41.5 ,Automatic,134 ,1,16-11-2021
Land Rover,Discovery Sport 2.0 D180 R-Dynamic SE 5dr Auto,2020,Estate,5,7,Black,2.0,"£47,999","8,475 ",n/a, 39.8 ,Automatic,178 ,1,16-11-2021
Seat,Leon 1.6 TDI SE Dynamic [EZ] 5dr DSG,2018,Hatchback,5,5,Orange,1.6,"£14,599","20,187 ",n/a, 55.4 ,Automatic,114 ,1,16-11-2021
Nissan,Juke 1.6 [112] Tekna 5dr CVT [Bose],2018,Hatchback,5,5,Blue,1.6,"£15,999","17,995 ",Petrol, 34.5 ,Automatic,111 ,1,16-11-2021
Ford,Kuga 1.5 TDCi Zetec [Nav] 5dr 2WD,2018,Hatchback,5,5,Blue,1.5,"£17,299","28,414 ",n/a, 44.8 ,Manual,118 ,1,16-11-2021
Ford,Transit Custom 2.0 EcoBlue 170ps Low Roof Limited Van Auto,2020,n/a,n/a,5,Grey,2.0,"£27,999 ","6,571 ",n/a, 44.1 ,Automatic,168 ,1,16-11-2021
BMW,X2 xDrive 18d M Sport X 5dr,2018,Hatchback,5,5,Bronze,2.0,"£26,599","19,546 ",n/a, 50.4 ,Manual,148 ,2,16-11-2021
